Node1	Node2	Net
MOL000098	PON1	target
MOL000098	HK2	target
MOL000098	GSTM1	target
MOL000098	GSTM2	target
MOL001494	PTGS1	target
MOL001494	PTGS2	target
MOL001495	PTGS1	target
MOL002914	PTGS1	target
MOL002914	PTGS2	target
MOL002914	HSP90AA1	target
MOL003006	PTGS2	target
MOL003006	CA2	target
MOL003006	DPP4	target
MOL003014	ESR1	target
MOL003014	PTGS2	target
MOL002773	AKT1	target
MOL002773	BCL2	target
MOL002773	CASP9	target
MOL002773	MMP2	target
MOL002773	CASP3	target
MOL002773	PTGS2	target
MOL002773	CASP8	target
MOL002773	MMP1	target
MOL002773	HMOX1	target
MOL002773	CYP3A4	target
MOL002773	CYP1A2	target
MOL002773	CAV1	target
MOL002773	CTNNB1	target
MOL002773	MYC	target
MOL002773	F3	target
MOL002773	GJA1	target
MOL002773	MMP10	target
MOL003036	NR3C2	target
MOL003044	NOS2	target
MOL003044	PTGS1	target
MOL003044	ESR1	target
MOL003044	AR	target
MOL003044	PPARG	target
MOL003044	PTGS2	target
MOL003044	DPP4	target
MOL003044	MAPK14	target
MOL003044	GSK3B	target
MOL003044	HSP90AA1	target
MOL003044	CDK2	target
MOL003095	NOS2	target
MOL003095	PTGS1	target
MOL003095	ESR1	target
MOL003095	AR	target
MOL003095	PPARG	target
MOL003095	PTGS2	target
MOL003095	ESR2	target
MOL003095	DPP4	target
MOL003095	MAPK14	target
MOL003095	GSK3B	target
MOL003095	HSP90AA1	target
MOL003095	ADRB2	target
MOL003095	BACE1	target
MOL003111	ESR1	target
MOL003111	AR	target
MOL003111	CA2	target
MOL003111	DPP4	target
MOL003111	HSP90AA1	target
MOL003117	NOS2	target
MOL003117	PTGS2	target
MOL003117	DPP4	target
MOL003128	AR	target
MOL003128	CA2	target
MOL000006	PTGS1	target
MOL000006	AR	target
MOL000006	PTGS2	target
MOL000006	HSP90AA1	target
MOL000006	DPP4	target
MOL000006	RELA	target
MOL000006	EGFR	target
MOL000006	AKT1	target
MOL000006	CCND1	target
MOL000006	BCL2L1	target
MOL000006	CDKN1A	target
MOL000006	CASP9	target
MOL000006	MMP2	target
MOL000006	MMP9	target
MOL000006	MAPK1	target
MOL000006	IL10	target
MOL000006	RB1	target
MOL000006	CDK4	target
MOL000006	TNF	target
MOL000006	IL6	target
MOL000006	CASP3	target
MOL000006	TP53	target
MOL000006	NFKBIA	target
MOL000006	MDM2	target
MOL000006	APP	target
MOL000006	MMP1	target
MOL000006	PCNA	target
MOL000006	PPARG	target
MOL000006	HMOX1	target
MOL000006	ICAM1	target
MOL000006	MCL1	target
MOL000006	BIRC5	target
MOL000006	IL2RA	target
MOL000006	IFNG	target
MOL000006	IL4	target
MOL000006	GSTP1	target
MOL000006	XIAP	target
MOL000006	SLC2A4	target
MOL000006	INSR	target
MOL000006	CD40LG	target
MOL000006	PTGES	target
MOL000006	MET	target
MOL002222	PTGS2	target
MOL002222	CA2	target
MOL002222	ADRB2	target
MOL002222	DRD2	target
MOL007658	NR3C2	target
MOL007662	ESR1	target
MOL007662	CA2	target
MOL007662	DPP4	target
MOL007662	GSK3B	target
MOL007662	CDK2	target
MOL007662	CCNA2	target
MOL000358	jinyinhua	ingredients
MOL000449	jinyinhua	ingredients
MOL000422	jinyinhua	ingredients
MOL000098	jinyinhua	ingredients
MOL001494	jinyinhua	ingredients
MOL001495	jinyinhua	ingredients
MOL002914	jinyinhua	ingredients
MOL003006	jinyinhua	ingredients
MOL003014	jinyinhua	ingredients
MOL002773	jinyinhua	ingredients
MOL003036	jinyinhua	ingredients
MOL003044	jinyinhua	ingredients
MOL003095	jinyinhua	ingredients
MOL003111	jinyinhua	ingredients
MOL003117	jinyinhua	ingredients
MOL003128	jinyinhua	ingredients
MOL000006	jinyinhua	ingredients
MOL000358	xuanshen	ingredients
MOL000359	xuanshen	ingredients
MOL002222	xuanshen	ingredients
MOL007658	xuanshen	ingredients
MOL007662	xuanshen	ingredients
MOL001484	gancao	ingredients
MOL001792	gancao	ingredients
MOL002311	gancao	ingredients
MOL000239	gancao	ingredients
MOL002565	gancao	ingredients
MOL000354	gancao	ingredients
MOL000359	gancao	ingredients
MOL003656	gancao	ingredients
MOL003896	gancao	ingredients
MOL000392	gancao	ingredients
MOL000417	gancao	ingredients
MOL000422	gancao	ingredients
MOL004328	gancao	ingredients
MOL004805	gancao	ingredients
MOL004806	gancao	ingredients
MOL004808	gancao	ingredients
MOL004810	gancao	ingredients
MOL004811	gancao	ingredients
MOL004814	gancao	ingredients
MOL004815	gancao	ingredients
MOL004820	gancao	ingredients
MOL004824	gancao	ingredients
MOL004827	gancao	ingredients
MOL004828	gancao	ingredients
MOL004829	gancao	ingredients
MOL004833	gancao	ingredients
MOL004835	gancao	ingredients
MOL004838	gancao	ingredients
MOL004841	gancao	ingredients
MOL004848	gancao	ingredients
MOL004849	gancao	ingredients
MOL004855	gancao	ingredients
MOL004856	gancao	ingredients
MOL004857	gancao	ingredients
MOL004863	gancao	ingredients
MOL004864	gancao	ingredients
MOL004866	gancao	ingredients
MOL004879	gancao	ingredients
MOL004882	gancao	ingredients
MOL004883	gancao	ingredients
MOL004884	gancao	ingredients
MOL004885	gancao	ingredients
MOL004891	gancao	ingredients
MOL004898	gancao	ingredients
MOL004903	gancao	ingredients
MOL004904	gancao	ingredients
MOL004907	gancao	ingredients
MOL004908	gancao	ingredients
MOL004910	gancao	ingredients
MOL004911	gancao	ingredients
MOL004912	gancao	ingredients
MOL004913	gancao	ingredients
MOL004914	gancao	ingredients
MOL004915	gancao	ingredients
MOL004924	gancao	ingredients
MOL004935	gancao	ingredients
MOL004941	gancao	ingredients
MOL004945	gancao	ingredients
MOL004948	gancao	ingredients
MOL004949	gancao	ingredients
MOL004957	gancao	ingredients
MOL004959	gancao	ingredients
MOL004961	gancao	ingredients
MOL004966	gancao	ingredients
MOL000497	gancao	ingredients
MOL004974	gancao	ingredients
MOL004978	gancao	ingredients
MOL004980	gancao	ingredients
MOL004988	gancao	ingredients
MOL004989	gancao	ingredients
MOL004990	gancao	ingredients
MOL004991	gancao	ingredients
MOL004993	gancao	ingredients
MOL000500	gancao	ingredients
MOL005000	gancao	ingredients
MOL005001	gancao	ingredients
MOL005003	gancao	ingredients
MOL005007	gancao	ingredients
MOL005008	gancao	ingredients
MOL005012	gancao	ingredients
MOL005016	gancao	ingredients
MOL005017	gancao	ingredients
MOL005018	gancao	ingredients
MOL005020	gancao	ingredients
MOL000098	gancao	ingredients
MOL000358	danggui	ingredients
MOL000449	danggui	ingredients
