Node1	Node2	Net
MOL004810	PTGS2	target
MOL004810	ESR2	target
MOL004810	MAPK14	target
MOL004810	GSK3B	target
MOL004810	HSP90AA1	target
MOL004810	CDK2	target
MOL004810	CCNA2	target
MOL004811	NOS2	target
MOL004811	ESR1	target
MOL004811	AR	target
MOL004811	PPARG	target
MOL004811	PTGS2	target
MOL004811	RXRA	target
MOL004811	ESR2	target
MOL004811	DPP4	target
MOL004811	MAPK14	target
MOL004811	GSK3B	target
MOL004811	HSP90AA1	target
MOL004811	CDK2	target
MOL004811	CCNA2	target
MOL004814	NOS2	target
MOL004814	ESR1	target
MOL004814	AR	target
MOL004814	PTGS2	target
MOL004814	ESR2	target
MOL004814	MAPK14	target
MOL004814	GSK3B	target
MOL004814	HSP90AA1	target
MOL004814	CDK2	target
MOL004814	CCNA2	target
MOL004815	NOS2	target
MOL004815	PTGS1	target
MOL004815	ESR1	target
MOL004815	AR	target
MOL004815	PPARG	target
MOL004815	PTGS2	target
MOL004815	CA2	target
MOL004815	RXRA	target
MOL004815	ESR2	target
MOL004815	MAPK14	target
MOL004815	GSK3B	target
MOL004815	CDK2	target
MOL004815	CCNA2	target
MOL004820	NOS2	target
MOL004820	PTGS1	target
MOL004820	ESR1	target
MOL004820	AR	target
MOL004820	PPARG	target
MOL004820	PTGS2	target
MOL004820	RXRA	target
MOL004820	ESR2	target
MOL004820	MAPK14	target
MOL004820	GSK3B	target
MOL004820	CDK2	target
MOL004820	CCNA2	target
MOL004824	NOS2	target
MOL004824	ESR1	target
MOL004824	AR	target
MOL004824	PPARG	target
MOL004824	PTGS2	target
MOL004824	F7	target
MOL004824	KDR	target
MOL004824	ESR2	target
MOL004824	DPP4	target
MOL004824	MAPK14	target
MOL004824	GSK3B	target
MOL004824	CDK2	target
MOL004824	CCNA2	target
MOL004827	NOS2	target
MOL004827	ESR1	target
MOL004827	AR	target
MOL004827	PPARG	target
MOL004827	PTGS2	target
MOL004827	F7	target
MOL004827	GSK3B	target
MOL004827	HSP90AA1	target
MOL004827	CDK2	target
MOL004828	NOS2	target
MOL004828	PTGS1	target
MOL004828	ESR1	target
MOL004828	AR	target
MOL004828	PPARG	target
MOL004828	PTGS2	target
MOL004828	F7	target
MOL004828	KDR	target
MOL004828	RXRA	target
MOL004828	DPP4	target
MOL004828	MAPK14	target
MOL004828	GSK3B	target
MOL004828	HSP90AA1	target
MOL004828	CDK2	target
MOL004828	CCNA2	target
MOL004829	PTGS1	target
MOL004829	ESR1	target
MOL004829	PTGS2	target
MOL004829	F7	target
MOL004829	RXRA	target
MOL004829	HSP90AA1	target
MOL004833	NOS2	target
MOL004833	ESR1	target
MOL004833	AR	target
MOL004833	PPARG	target
MOL004833	PTGS2	target
MOL004833	RXRA	target
MOL004833	ADRB2	target
MOL004833	ESR2	target
MOL004833	MAPK14	target
MOL004833	GSK3B	target
MOL004833	CDK2	target
MOL004833	CCNA2	target
MOL004835	NOS2	target
MOL004835	PTGS1	target
MOL004835	ESR1	target
MOL004835	AR	target
MOL004835	PPARG	target
MOL004835	PTGS2	target
MOL004835	CA2	target
MOL004835	ADRB2	target
MOL004835	SLC6A4	target
MOL004835	ESR2	target
MOL004835	MAPK14	target
MOL004835	GSK3B	target
MOL004835	HSP90AA1	target
MOL004835	CDK2	target
MOL004835	LTA4H	target
MOL004835	CCNA2	target
MOL004838	NOS2	target
MOL004838	ESR1	target
MOL004838	PTGS2	target
MOL004838	RXRA	target
MOL004838	HSP90AA1	target
MOL004841	NOS2	target
MOL004841	PTGS1	target
MOL004841	ESR1	target
MOL004841	AR	target
MOL004841	PPARG	target
MOL004841	PTGS2	target
MOL004841	CA2	target
MOL004841	ADRB2	target
MOL004841	ESR2	target
MOL004841	MAPK14	target
MOL004841	GSK3B	target
MOL004841	HSP90AA1	target
MOL004841	CDK2	target
MOL004841	CCNA2	target
MOL004848	NOS2	target
MOL004848	ESR1	target
MOL004848	AR	target
MOL004848	PPARG	target
MOL004848	PTGS2	target
MOL004848	KDR	target
MOL004848	ESR2	target
MOL004848	MAPK14	target
MOL004848	GSK3B	target
MOL004848	HSP90AA1	target
MOL004848	CDK2	target
MOL004848	CCNA2	target
MOL004849	NOS2	target
MOL004849	ESR1	target
MOL004849	AR	target
MOL004849	PPARG	target
MOL004849	PTGS2	target
MOL004849	F7	target
MOL004849	KDR	target
MOL004849	ESR2	target
MOL004849	DPP4	target
MOL004849	MAPK14	target
MOL004849	GSK3B	target
MOL004849	HSP90AA1	target
MOL004849	CDK2	target
MOL004855	NOS2	target
MOL004855	ESR1	target
MOL004855	AR	target
MOL004855	PPARG	target
MOL004855	PTGS2	target
MOL004855	KDR	target
MOL004856	NOS2	target
MOL004856	ESR1	target
MOL004856	AR	target
MOL004856	PPARG	target
MOL004856	PTGS2	target
MOL004856	ESR2	target
MOL004856	DPP4	target
MOL004856	GSK3B	target
MOL004856	HSP90AA1	target
MOL004856	CCNA2	target
MOL004857	NOS2	target
MOL004857	ESR1	target
MOL004857	AR	target
MOL004857	PPARG	target
MOL004857	PTGS2	target
MOL004857	F7	target
MOL004857	KDR	target
MOL004857	ADRB2	target
MOL004857	ESR2	target
MOL004857	DPP4	target
MOL004857	GSK3B	target
MOL004857	HSP90AA1	target
MOL004857	CCNA2	target
MOL004863	NOS2	target
MOL004863	ESR1	target
MOL004863	AR	target
MOL004863	PPARG	target
MOL004863	PTGS2	target
MOL004863	MAPK14	target
MOL004863	GSK3B	target
