category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
Human Diseases	Infectious disease: bacterial	hsa05120	Epithelial cell signaling in Helicobacter pylori infection	11/144	71/9423	0.154929577464789	10.1382042253521	9.62808672630892	8.45182452150563e-09	2.66634940261785e-08	8.2611818631258e-09	CASP3/MAPK14/RELA/IKBKB/MAPK8/EGFR/NFKBIA/CXCL8/CXCL2/CHUK/MET	11
Human Diseases	Infectious disease: bacterial	hsa05130	Pathogenic Escherichia coli infection	17/144	201/9423	0.0845771144278607	5.53451492537313	8.09503096078492	9.56073907573885e-09	2.98070100596564e-08	9.23514115055889e-09	BAX/CASP9/CASP3/CASP8/MAPK14/RELA/IKBKB/TNF/MAPK8/MAPK3/MAPK1/FOS/IL6/NFKBIA/IL1B/CXCL8/CHUK	17
Human Diseases	Drug resistance: antineoplastic	hsa01523	Antifolate resistance	8/144	30/9423	0.266666666666667	17.45	11.2415598529145	1.07824061161905e-08	3.32248560557034e-08	1.02940964144781e-08	RELA/IKBKB/TNF/ABCC1/IL6/IL1B/ABCG2/CHUK	8
Human Diseases	Cancer: overview	hsa05203	Viral carcinogenesis	17/144	205/9423	0.0829268292682927	5.4265243902439	7.98221918193927	1.28681131750186e-08	3.9195976912413e-08	1.21441358457526e-08	BAX/CASP3/CASP8/CCNA2/CDK2/RELA/MAPK3/MAPK1/BAD/STAT3/CCND1/RB1/CDK4/CDKN1A/TP53/NFKBIA/MDM2	17
Human Diseases	Neurodegenerative disease	hsa05022	Pathways of neurodegeneration - multiple diseases	26/144	481/9423	0.0540540540540541	3.53716216216216	7.11550355558648	1.38219680648585e-08	4.16229720134943e-08	1.28960946059684e-08	PTGS2/BCL2/BAX/CASP9/CASP3/CASP8/PRKCA/NOS2/MAPK14/GSK3B/RELA/TNF/MAPK8/MAPK3/MAPK1/BAD/SOD1/CAT/BCL2L1/IL6/HSPA5/IL1B/PRKCB/IL1A/CTNNB1/APP	26
Human Diseases	Immune disease	hsa05323	Rheumatoid arthritis	12/144	95/9423	0.126315789473684	8.26578947368421	8.86650682282637	1.88862161162946e-08	5.62342389979558e-08	1.74231207223061e-08	TNF/MMP1/ICAM1/MMP3/FOS/IL6/IL1B/CCL2/CXCL8/IFNG/IL1A/CXCL2	12
Human Diseases	Endocrine and metabolic disease	hsa04930	Type II diabetes mellitus	9/144	47/9423	0.191489361702128	12.530585106383	9.87173944139997	2.94173821843299e-08	8.66178475427491e-08	2.68369100628974e-08	IKBKB/TNF/MAPK8/SLC2A4/INSR/MAPK3/MAPK1/ADIPOQ/HK2	9
Organismal Systems	Nervous system	hsa04722	Neurotrophin signaling pathway	13/144	120/9423	0.108333333333333	7.0890625	8.36241570457501	3.1075290680439e-08	9.04939783551245e-08	2.80378562530276e-08	BCL2/BAX/MAPK14/GSK3B/RELA/IKBKB/AKT1/MAPK8/MAPK3/MAPK1/BAD/TP53/NFKBIA	13
Human Diseases	Immune disease	hsa05321	Inflammatory bowel disease	10/144	66/9423	0.151515151515152	9.91477272727273	9.0534923184071	5.15932609945753e-08	1.48611023516983e-07	4.60443290340603e-08	RELA/IL4/TNF/STAT1/STAT3/IL10/IL6/IL1B/IFNG/IL1A	10
Human Diseases	Neurodegenerative disease	hsa05010	Alzheimer disease	22/144	389/9423	0.0565552699228792	3.70083547557841	6.77696270514535	9.44318975019608e-08	2.69080138043222e-07	8.3369417149439e-08	PTGS2/CASP9/CASP3/CASP8/NOS2/GSK3B/RELA/IKBKB/AKT1/TNF/MAPK8/INSR/MAPK3/MAPK1/BAD/BACE1/IL6/IL1B/IL1A/CHUK/CTNNB1/APP	22
Organismal Systems	Immune system	hsa04622	RIG-I-like receptor signaling pathway	10/144	72/9423	0.138888888888889	9.08854166666667	8.58241785559403	1.2127823213628e-07	3.41901399107598e-07	1.05931714519931e-07	CASP8/MAPK14/RELA/IKBKB/TNF/MAPK8/NFKBIA/CXCL8/CXCL10/CHUK	10
Environmental Information Processing	Signal transduction	hsa04014	Ras signaling pathway	17/144	239/9423	0.0711297071129707	4.65455020920502	7.12884471171091	1.24162662120911e-07	3.46348478547803e-07	1.07309558398128e-07	PRKCA/KDR/RELA/IKBKB/AKT1/MAPK8/INSR/MAPK3/MAPK1/BAD/EGFR/BCL2L1/EGF/PRKCB/CHUK/IGF2/MET	17
Organismal Systems	Endocrine system	hsa04915	Estrogen signaling pathway	13/144	139/9423	0.0935251798561151	6.12005395683453	7.57559206736821	1.80245055466079e-07	4.97551455192821e-07	1.5415695533283e-07	HSP90AA1/BCL2/ESR1/ESR2/AKT1/MAPK3/MAPK1/EGFR/FOS/MMP2/MMP9/NOS3/CTSD	13
Organismal Systems	Endocrine system	hsa04935	Growth hormone synthesis, secretion and action	12/144	122/9423	0.0983606557377049	6.43647540983607	7.5289554917208	3.15336384962478e-07	8.61486000155224e-07	2.66915225470139e-07	PRKCA/MAPK14/GSK3B/AKT1/MAPK8/STAT1/MAPK3/MAPK1/STAT3/FOS/PRKCB/IGFBP3	12
Human Diseases	Endocrine and metabolic disease	hsa04934	Cushing syndrome	13/144	155/9423	0.0838709677419355	5.4883064516129	7.01871401674709	6.41175909683221e-07	1.73379200067402e-06	5.37182824439218e-07	GSK3B/CDK2/AHR/MAPK3/MAPK1/LDLR/CCND1/RB1/CDK4/EGFR/CDKN1A/E2F1/CTNNB1	13
Organismal Systems	Immune system	hsa04664	Fc epsilon RI signaling pathway	9/144	69/9423	0.130434782608696	8.53532608695652	7.8258248212999	9.19890923934907e-07	2.46233429134091e-06	7.62907943295297e-07	PRKCA/MAPK14/IL4/AKT1/TNF/MAPK8/ALOX5/MAPK3/MAPK1	9
Human Diseases	Neurodegenerative disease	hsa05020	Prion disease	17/144	276/9423	0.0615942028985507	4.03057065217391	6.36563632559134	9.6037440092667e-07	2.54499216245567e-06	7.88517929181897e-07	BAX/CASP9/CASP3/MAPK14/GSK3B/NCF1/TNF/MAPK8/MAPK3/MAPK1/BAD/SOD1/IL6/HSPA5/CAV1/IL1B/IL1A	17
Organismal Systems	Immune system	hsa04662	B cell receptor signaling pathway	10/144	91/9423	0.10989010989011	7.19093406593407	7.39250655847097	1.13533451150809e-06	2.97884797573904e-06	9.22939988511004e-07	GSK3B/RELA/IKBKB/AKT1/MAPK3/MAPK1/FOS/NFKBIA/PRKCB/CHUK	10
Human Diseases	Cancer: overview	hsa05230	Central carbon metabolism in cancer	9/144	71/9423	0.126760563380282	8.29489436619718	7.68596037962836	1.17792888353752e-06	3.06030543272004e-06	9.48178048667975e-07	AKT1/MAPK3/MAPK1/EGFR/TP53/HIF1A/MYC/HK2/MET	9
Organismal Systems	Endocrine system	hsa04928	Parathyroid hormone synthesis, secretion and action	11/144	115/9423	0.0956521739130435	6.25923913043478	7.06880269141917	1.32345244556762e-06	3.40499901044098e-06	1.05497486718727e-06	BCL2/PRKCA/RXRA/MAPK3/MAPK1/RXRB/EGFR/FOS/CDKN1A/PRKCB/RUNX2	11
Cellular Processes	Cell growth and death	hsa04217	Necroptosis	13/144	168/9423	0.0773809523809524	5.06361607142857	6.62035544522529	1.60629921715819e-06	4.0929739667973e-06	1.26813096091436e-06	HSP90AA1/BCL2/BAX/CASP8/TNF/MAPK8/STAT1/STAT3/IL1B/IFNG/IL1A/PARP1/XIAP	13
