name,Betweenness,Closeness,Degree,Eigenvector,LAC,Network,,,0,0.077433628,5,0.025148619,1,1.5
IL1A,1.308608059,0.077220077,10,0.06062901,8.2,9.194444444,,,,,,,,
IFNG,187.2347354,0.07918552,15,0.088012174,7.333333333,11.58595016,,,,,,,,
IL10,53.74970558,0.078695897,11,0.074258141,7.818181818,9.388888889,,,,,,,,
CXCL10,90.33318445,0.077605322,11,0.063939907,6.909090909,8.663888889,,,,,,,,
IL6,1223.117248,0.081348053,23,0.150094643,7.391304348,14.97301434,,,,,,,,
RELA,1462.520351,0.081823495,17,0.151687607,5.647058824,8.045512821,,,,,,,,
CXCL8,190.9742516,0.079006772,14,0.078385167,8,11.05064103,,,,,,,,
CDK4,19.98383882,0.078475336,10,0.089372166,6.4,8.113095238,,,,,,,,
CDK2,5.243904505,0.077994429,9,0.077332675,6.444444444,7.821428571,,,,,,,,
RB1,127.0053626,0.078387458,8,0.064540721,4.25,4.857142857,,,,,,,,
E2F1,4.98772884,0.078081428,9,0.082850307,6.222222222,7.196428571,,,,,,,,
PCNA,0.285714286,0.077433628,6,0.056099843,4.666666667,5.6,,,,,,,,
FOS,414.4602142,0.080878105,16,0.151497781,5.75,8.743772894,,,,,,,,
CD40LG,0,0.07616975,3,0.021101465,2,3,,,,,,,,
CES1,35.21274272,0.071501532,2,3.17E-04,0,0,,,,,,,,
MPO,116.2573075,0.073490814,2,0.002213052,0,0,,,,,,,,
CYP3A4,430.6517222,0.074468085,9,0.002609469,2.444444444,4.55,,,,,,,,
NFKBIA,38.01570281,0.07963595,8,0.077117421,3.75,4.380952381,,,,,,,,
COL1A1,258,0.072840791,2,0.002417965,0,0,,,,,,,,
RUNX2,715.1034452,0.077994429,6,0.036586452,0.666666667,0.8,,,,,,,,
COL3A1,0,0.068259386,1,1.59E-04,0,0,,,,,,,,
MET,3.895929887,0.077605322,4,0.037612021,2,2.666666667,,,,,,,,
CXCL11,0,0.073878628,3,0.0129983,2,3,,,,,,,,
CYP19A1,480.867025,0.077262693,5,0.0198035,1.6,2.5,,,,,,,,
SULT1E1,0,0.072878709,3,0.001760893,2,3,,,,,,,,
GSTM2,26.51163456,0.071501532,6,9.15E-04,3.333333333,4.283333333,,,,,,,,
GSTM1,200.346747,0.073260073,7,0.001213809,2.857142857,4.05,,,,,,,,
CYP1A2,21.31930986,0.073221757,6,0.001297146,4,5,,,,,,,,
CYP1B1,18.30026224,0.072916667,5,0.001135947,3.2,4,,,,,,,,
GSTP1,693.5845877,0.077050083,6,0.009499431,1.666666667,2.1,,,,,,,,
NR1I2,165.7743221,0.072239422,2,5.04E-04,0,0,,,,,,,,
DRD2,0,0.007142857,1,0,0,0,,,,,,,,
SLC6A4,0,0.007142857,1,0,0,0,,,,,,,,
INSR,38.05164899,0.074428495,3,0.006861005,0,0,,,,,,,,
IGFBP3,476.4116814,0.078740157,4,0.030137815,0.5,0.666666667,,,,,,,,
F3,382,0.069513406,4,3.54E-04,1.5,3.333333333,,,,,,,,
PLAT,127,0.069478908,3,3.52E-04,1.333333333,2,,,,,,,,
THBD,1,0.065390005,3,4.76E-05,1.333333333,2.5,,,,,,,,
F7,0,0.065359477,2,2.61E-05,1,2,,,,,,,,
FOSL2,0,0.07646095,2,0.018633168,1,2,,,,,,,,
HSF1,0,0.075634792,2,0.018681468,1,2,,,,,,,,
GSR,185.1183984,0.074388948,4,0.003296916,0.5,0.666666667,,,,,,,,
SPP1,340.6481353,0.075634792,4,0.004861163,0.5,0.666666667,,,,,,,,
HMGCR,0,0.069410015,1,1.81E-04,0,0,,,,,,,,
SREBF1,258,0.074152542,2,0.002745988,0,0,,,,,,,,
HMOX1,0,0.073956683,2,0.004114015,1,2,,,,,,,,
NQO1,383.4985882,0.077734592,4,0.024025686,0.5,1.333333333,,,,,,,,
SELE,0,0.072954664,2,0.005472707,1,2,,,,,,,,
IRF1,12.32031541,0.077907624,4,0.039278958,1.5,2,,,,,,,,
IL2RA,0,0.075921909,4,0.025148619,3,4,,,,,,,,
IGF2,15.9697262,0.073684211,2,0.002435411,0,0,,,,,,,,
RXRA,584.4516178,0.075553157,6,0.005042366,1,2.7,,,,,,,,
MMP9,1069.776526,0.078037904,9,0.03347281,1.555555556,3.55952381,,,,,,,,
MMP1,9.505003314,0.074113287,3,0.003865683,1.333333333,2,,,,,,,,
MMP2,142.9236769,0.077562327,4,0.022710087,1,1.5,,,,,,,,
MMP3,270.5,0.073761855,4,0.002776097,1,1.5,,,,,,,,
MMP10,0,0.069067588,1,1.82E-04,0,0,,,,,,,,
ODC1,0,0.07253886,1,0.001582103,0,0,,,,,,,,
PLAU,0,0.069341258,1,3.26E-04,0,0,,,,,,,,
RXRB,140.2382021,0.07470651,4,0.003149713,1.5,2.833333333,,,,,,,,
PPARD,0,0.070671378,2,5.40E-04,1,2,,,,,,,,
SLC2A4,0,0.074074074,1,0.002734059,0,0,,,,,,,,
PTGES,0,0.074666667,2,0.005140221,1,2,,,,,,,,
SOAT1,0,0.007142857,1,0,0,0,,,,,,,,
SOAT2,0,0.007142857,1,0,0,0,,,,,,,,
,0,0.077433628,5,0.025148619,1,1.5,,,,,,,,
