ONTOLOGY	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0002237	response to molecule of bacterial origin	42/149	375/18860	0.112	14.176644295302	22.9993040038512	1.12902715640558e-36	4.68884978055238e-33	1.98352244635886e-33	CASP9/CASP3/CASP8/PRKCA/NOS2/MAPK14/PPARD/RELA/AKT1/TNF/MAPK8/CYP1A1/SELE/VCAM1/NR1I2/GSTP1/AHR/SLPI/MAPK3/MAPK1/CDK4/FOSL2/MMP3/FOS/MMP9/IL10/IL6/NFKBIA/IL1B/CCL2/CXCL8/NOS3/THBD/SERPINE1/IL1A/MPO/NQO1/CXCL2/HSF1/CXCL10/E2F1/XIAP	42
BP	GO:0032496	response to lipopolysaccharide	39/149	350/18860	0.111428571428571	14.1043144774688	22.0825429916042	6.71502151077517e-34	1.39437421671246e-30	5.89861626393882e-31	CASP9/CASP3/CASP8/PRKCA/NOS2/MAPK14/PPARD/RELA/AKT1/TNF/MAPK8/CYP1A1/SELE/VCAM1/GSTP1/SLPI/MAPK3/MAPK1/CDK4/FOSL2/MMP3/FOS/MMP9/IL10/IL6/NFKBIA/IL1B/CCL2/CXCL8/NOS3/THBD/SERPINE1/IL1A/MPO/NQO1/HSF1/CXCL10/E2F1/XIAP	39
BP	GO:0009410	response to xenobiotic stimulus	42/149	443/18860	0.0948081264108352	12.0005453967004	20.9079090262146	1.2281057435794e-33	1.70010771769508e-30	7.19195960011934e-31	HSP90AA1/SLC6A4/BCL2/CASP3/NOS2/RELA/TNF/STAT1/CYP3A4/CYP1A2/CYP1A1/NR1I2/CYP1B1/GSTP1/AHR/GSTM1/GSTM2/SOD1/CAT/SREBF1/ABCC1/ADIPOQ/CCND1/RB1/CDK4/FOSL2/FOS/MMP2/IL10/TP53/MYC/IL1B/COL1A1/NFE2L2/NQO1/HSF1/CHUK/E2F1/CTNNB1/MDM2/PCNA/DRD2	42
BP	GO:0070482	response to oxygen levels	37/149	357/18860	0.103641456582633	13.1186434305266	20.6286594360149	5.78918127429678e-31	5.35677716834846e-28	2.26607553042787e-28	PTGS2/SLC6A4/BCL2/CASP9/CASP3/PLAU/NOS2/PPARG/CCNA2/DPP4/PPARD/F7/AKT1/TNF/CYP1A1/VCAM1/SLC2A4/BAD/CAT/PPARA/ADIPOQ/STAT3/FOSL2/FOS/MMP2/TP53/HIF1A/CAV1/MYC/PLAT/COL1A1/NFE2L2/HSF1/E2F1/HK2/MDM2/DRD2	37
BP	GO:0036293	response to decreased oxygen levels	36/149	330/18860	0.109090909090909	13.8084197681513	20.9468526438032	6.44928626095409e-31	5.35677716834846e-28	2.26607553042787e-28	PTGS2/SLC6A4/BCL2/CASP9/CASP3/PLAU/NOS2/PPARG/CCNA2/DPP4/PPARD/F7/AKT1/TNF/CYP1A1/VCAM1/SLC2A4/BAD/CAT/PPARA/ADIPOQ/STAT3/FOSL2/FOS/MMP2/TP53/HIF1A/CAV1/MYC/PLAT/NFE2L2/HSF1/E2F1/HK2/MDM2/DRD2	36
BP	GO:0001666	response to hypoxia	35/149	317/18860	0.110410094637224	13.9753985560943	20.7904698249991	3.11521900345484e-30	2.15625075355799e-27	9.12157985397568e-28	PTGS2/SLC6A4/BCL2/CASP9/CASP3/PLAU/NOS2/PPARG/CCNA2/DPP4/PPARD/F7/TNF/CYP1A1/VCAM1/SLC2A4/BAD/CAT/PPARA/ADIPOQ/STAT3/FOSL2/FOS/MMP2/TP53/HIF1A/CAV1/MYC/PLAT/NFE2L2/HSF1/E2F1/HK2/MDM2/DRD2	35
BP	GO:0050727	regulation of inflammatory response	38/149	460/18860	0.0826086956521739	10.4563758389262	18.3230891275033	3.95353863547256e-28	2.3455779933025e-25	9.92249019940405e-26	PTGS2/CASP3/CASP8/ESR1/PPARG/MAPK14/PPARD/RELA/NCF1/IL4/TNF/SELE/ALOX5/GSTP1/AHR/MAPK3/MAPK1/LDLR/SOD1/CYP19A1/PPARA/ABCC1/ADIPOQ/STAT3/RB1/MMP3/MMP9/IL10/IL6/NFKBIA/IL1B/PTGER3/IL2RA/SERPINE1/IFNG/APP/XIAP/PTGES	38
BP	GO:2001233	regulation of apoptotic signaling pathway	36/149	406/18860	0.0886699507389163	11.223592422389	18.5834032577545	1.04620764648859e-27	5.43112544483388e-25	2.29752705524928e-25	PTGS2/BCL2/BAX/PPARG/GSK3B/AR/RELA/AKT1/TNF/HMOX1/ICAM1/GSTP1/BAD/SOD1/RB1/BCL2L1/MMP2/MMP9/IL10/TP53/HIF1A/CAV1/MYC/IL1B/NOS3/HSPB1/SERPINE1/IL1A/NFE2L2/PARP1/HSF1/CD40LG/CTNNB1/MDM2/APP/MCL1	36
BP	GO:0006979	response to oxidative stress	35/149	418/18860	0.0837320574162679	10.5985678045021	17.709020236639	4.41554637936636e-26	2.03752934594539e-23	8.61935310779235e-24	PTGS1/PTGS2/BCL2/CASP3/PRKCA/RELA/AKT1/MAPK8/STAT1/HMOX1/CYP1B1/ALOX5/GSTP1/SOD1/CAT/GSR/ABCC1/ADIPOQ/MMP3/FOS/MMP2/IL6/TP53/HIF1A/NOS3/COL1A1/MPO/NFE2L2/NQO1/PARP1/HSF1/CHUK/MDM2/PCNA/MET	35
BP	GO:0071216	cellular response to biotic stimulus	30/149	274/18860	0.109489051094891	13.8588154607358	19.1331838129281	8.27792040586752e-26	3.0732675868556e-23	1.30008328854525e-23	PRKCA/NOS2/MAPK14/GSK3B/PPARD/RELA/AKT1/TNF/MAPK8/NR1I2/GSTP1/AHR/MAPK3/MAPK1/CDK4/MMP3/MMP9/IL10/IL6/TP53/NFKBIA/HSPA5/IL1B/CCL2/CXCL8/NOS3/SERPINE1/IL1A/HSF1/CXCL10	30
BP	GO:0050673	epithelial cell proliferation	37/149	496/18860	0.0745967741935484	9.44224940463304	17.0027566627874	8.52434950437674e-26	3.0732675868556e-23	1.30008328854525e-23	BAX/PRKCA/ESR1/PPARG/KDR/AR/PPARD/NCF1/AKT1/TNF/STAT1/HMOX1/ALOX5/HAS2/MAPK1/BAD/STAT3/CCND1/RB1/CDK4/EGFR/BCL2L1/CDKN1A/IL10/EGF/IL6/HIF1A/CAV1/MYC/F3/CCL2/HSF1/RUNX2/IGFBP3/IGF2/CTNNB1/DRD2	37
BP	GO:0043434	response to peptide hormone	36/149	461/18860	0.0780911062906725	9.88455211169183	17.2342685942017	8.88013750114788e-26	3.0732675868556e-23	1.30008328854525e-23	PRKCA/LTA4H/PPARG/MAPK14/GSK3B/CCNA2/F7/RELA/AKT1/STAT1/GSTP1/SLC2A4/INSR/MAPK3/MAPK1/CAT/PPARA/SREBF1/ADIPOQ/CA2/STAT3/RB1/FOS/IL10/CAV1/IL1B/PRKCB/COL1A1/NFE2L2/PARP1/COL3A1/HSF1/CHUK/CTSD/IGF2/MDM2	36
BP	GO:0032355	response to estradiol	22/149	113/18860	0.194690265486726	24.6433450139574	22.4950113594508	9.03499346602667e-25	2.88633291264683e-22	1.22100438014563e-22	SLC6A4/CASP9/CASP3/CASP8/PRKCA/ESR1/CCNA2/ESR2/F7/GSTP1/CAT/CYP19A1/STAT3/CCND1/EGFR/MMP2/IL10/COL1A1/HSF1/CTNNB1/PCNA/DRD2	22
BP	GO:0000302	response to reactive oxygen species	26/149	205/18860	0.126829268292683	16.0536912751678	19.3386553737355	4.25079274064596e-24	1.26096730370733e-21	5.33426547679556e-22	BCL2/CASP3/PRKCA/RELA/AKT1/MAPK8/STAT1/HMOX1/CYP1B1/GSTP1/SOD1/CAT/MMP3/FOS/MMP2/IL6/HIF1A/NOS3/COL1A1/MPO/NFE2L2/NQO1/HSF1/MDM2/PCNA/MET	26
BP	GO:0009636	response to toxic substance	28/149	270/18860	0.103703703703704	13.12652249565	17.909457430014	1.87470189803285e-23	5.19042465502028e-21	2.19570348618725e-21	PTGS1/PTGS2/SLC6A4/BCL2/BAX/PRKCA/PON1/TNF/CYP1A1/CYP1B1/GSTP1/AHR/GSTM1/GSTM2/SOD1/CAT/GSR/CES1/FOS/NOS3/MPO/ABCG2/NFE2L2/NQO1/CHUK/MDM2/PTGES/DRD2	28
BP	GO:0071219	cellular response to molecule of bacterial origin	27/149	247/18860	0.109311740890688	13.8363720348885	18.1211831064391	3.00968768679648e-23	7.81202060204112e-21	3.30471628241009e-21	PRKCA/NOS2/MAPK14/PPARD/RELA/AKT1/TNF/MAPK8/NR1I2/GSTP1/AHR/MAPK3/MAPK1/CDK4/MMP3/MMP9/IL10/IL6/NFKBIA/IL1B/CCL2/CXCL8/NOS3/SERPINE1/IL1A/HSF1/CXCL10	27
BP	GO:0062197	cellular response to chemical stress	30/149	335/18860	0.0895522388059701	11.3352699589302	17.0321347834069	3.21075462396835e-23	7.84368467843561e-21	3.31811112532704e-21	PTGS2/CASP3/AKR1B1/RELA/AKT1/MAPK8/CYP1B1/ALOX5/SLC2A4/BAD/SOD1/CAT/GSR/ABCC1/MMP3/FOS/MMP2/IL6/TP53/HIF1A/CAV1/NOS3/MPO/NFE2L2/NQO1/PARP1/HSF1/MDM2/PCNA/MET	30
BP	GO:0009314	response to radiation	33/149	462/18860	0.0714285714285714	9.04122722914669	15.6157188125125	2.1226591389298e-22	4.89744633554191e-20	2.07176497244084e-20	BCL2/BAX/CASP9/CASP3/MAPK14/RELA/AKT1/TNF/MAPK8/MMP1/VCAM1/CAT/HMGCR/CCND1/MMP3/EGFR/BCL2L1/FOS/CDKN1A/MMP2/MMP9/TP53/HIF1A/MYC/THBD/PARP1/COL3A1/HSF1/CXCL10/MDM2/APP/PCNA/DRD2	33
BP	GO:0046209	nitric oxide metabolic process	19/149	89/18860	0.213483146067416	27.0220948646407	21.958239584651	2.47051867546702e-22	5.40003371537606e-20	2.28437433205233e-20	PTGS2/HSP90AA1/ESR1/NOS2/AKT1/TNF/STAT1/CYP1A1/CYP1B1/INSR/PPARA/IL10/HIF1A/CAV1/IL1B/NOS3/IFNG/NQO1/APP	19
BP	GO:2001057	reactive nitrogen species metabolic process	19/149	91/18860	0.208791208791209	26.4282026698134	21.6980026698207	3.90620811541001e-22	8.11124115164889e-20	3.43129544453648e-20	PTGS2/HSP90AA1/ESR1/NOS2/AKT1/TNF/STAT1/CYP1A1/CYP1B1/INSR/PPARA/IL10/HIF1A/CAV1/IL1B/NOS3/IFNG/NQO1/APP	19
BP	GO:0071222	cellular response to lipopolysaccharide	25/149	229/18860	0.109170305676856	13.818469564198	17.4156544798292	1.48303576508573e-21	2.93287977733383e-19	1.24069508367322e-19	PRKCA/NOS2/MAPK14/PPARD/RELA/AKT1/TNF/MAPK8/GSTP1/MAPK3/MAPK1/CDK4/MMP3/MMP9/IL10/IL6/NFKBIA/IL1B/CCL2/CXCL8/NOS3/SERPINE1/IL1A/HSF1/CXCL10	25
BP	GO:0034612	response to tumor necrosis factor	25/149	244/18860	0.102459016393443	12.9689734844317	16.7923933203327	7.17591374059134e-21	1.30031752527192e-18	5.50072857839945e-19	CASP3/CASP8/MAPK14/RELA/IKBKB/AKT1/TNF/STAT1/SELE/VCAM1/HAS2/GSTP1/SLC2A4/MAPK3/MAPK1/ADIPOQ/FOS/TP53/NFKBIA/CCL2/CXCL8/COL1A1/NFE2L2/CHUK/XIAP	25
BP	GO:0007584	response to nutrient	22/149	167/18860	0.131736526946108	16.6748382429771	18.1562337541627	7.20137324374045e-21	1.30031752527192e-18	5.50072857839945e-19	SLC6A4/RXRA/PPARG/PPARD/F7/RELA/STAT1/CYP1A1/VCAM1/GSTP1/CAT/PPARA/SREBF1/ADIPOQ/RXRB/CCND1/COL1A1/NFE2L2/HSF1/CXCL10/SPP1/MDM2	22
BP	GO:2001234	negative regulation of apoptotic signaling pathway	25/149	245/18860	0.102040816326531	12.916038898781	16.7527998246425	7.94031173144616e-21	1.37400477586233e-18	5.81244749113318e-19	PTGS2/BCL2/BAX/GSK3B/AR/RELA/AKT1/TNF/HMOX1/ICAM1/GSTP1/RB1/BCL2L1/MMP9/IL10/HIF1A/IL1B/NOS3/HSPB1/SERPINE1/IL1A/NFE2L2/CTNNB1/MDM2/MCL1	25
BP	GO:0048545	response to steroid hormone	28/149	343/18860	0.0816326530612245	10.3328311190248	15.5660750133901	1.32163765921722e-20	2.19550447949165e-18	9.28763475045703e-19	BCL2/CASP9/CASP3/PRKCA/NR3C2/RXRA/ESR1/AR/ESR2/PPARD/RELA/TNF/GSTP1/PPARA/SREBF1/ADIPOQ/RXRB/CCND1/FOSL2/FOS/IL10/IL6/CAV1/COL1A1/PARP1/SPP1/MDM2/PCNA	28
BP	GO:0097305	response to alcohol	26/149	280/18860	0.0928571428571429	11.7535953978907	16.1775897587915	1.38183370239751e-20	2.20399437213087e-18	9.32354951293657e-19	CASP9/CASP8/PRKCA/F7/RELA/AKT1/TNF/VCAM1/GSTP1/AHR/SLC2A4/SOD1/CAT/PPARA/SREBF1/ADIPOQ/CES1/STAT3/CCND1/CDK4/BCL2L1/FOS/PARP1/CTNNB1/MDM2/DRD2	26
BP	GO:1902893	regulation of miRNA transcription	17/149	75/18860	0.226666666666667	28.6908277404922	21.4419823922212	1.4328882265238e-20	2.20399437213087e-18	9.32354951293657e-19	ESR1/PPARG/AR/PPARD/RELA/TNF/PPARA/SREBF1/STAT3/EGFR/FOS/IL10/IL6/TP53/HIF1A/MYC/APP	17
BP	GO:0050678	regulation of epithelial cell proliferation	30/149	416/18860	0.0721153846153846	9.12816210635003	14.9594432347178	1.67834953159715e-20	2.48935200168677e-18	1.05306968730663e-18	BAX/PRKCA/PPARG/KDR/AR/PPARD/AKT1/TNF/STAT1/HMOX1/ALOX5/HAS2/BAD/STAT3/CCND1/RB1/CDK4/EGFR/IL10/EGF/HIF1A/CAV1/MYC/F3/CCL2/HSF1/RUNX2/IGF2/CTNNB1/DRD2	30
BP	GO:0061614	miRNA transcription	17/149	76/18860	0.223684210526316	28.3133168491699	21.2907599917374	1.83352197208578e-20	2.62572991381801e-18	1.11076158671911e-18	ESR1/PPARG/AR/PPARD/RELA/TNF/PPARA/SREBF1/STAT3/EGFR/FOS/IL10/IL6/TP53/HIF1A/MYC/APP	17
BP	GO:0009411	response to UV	21/149	159/18860	0.132075471698113	16.7177409142712	17.7607065145619	5.53572825901114e-20	7.66329315322442e-18	3.24180016290863e-18	BCL2/BAX/CASP9/CASP3/MAPK14/RELA/AKT1/MAPK8/MMP1/CAT/CCND1/MMP3/EGFR/CDKN1A/MMP2/MMP9/TP53/MYC/PARP1/MDM2/PCNA	21
BP	GO:0097193	intrinsic apoptotic signaling pathway	27/149	335/18860	0.0805970149253731	10.2017429630372	15.1641250796063	9.60857910825679e-20	1.28723964634163e-17	5.44540527391531e-18	PTGS2/BCL2/BAX/CASP9/CASP3/AKT1/TNF/CYP1B1/BAD/SOD1/BCL2L1/CDKN1A/MMP2/MMP9/IL10/TP53/HIF1A/CAV1/MYC/HSPB1/NFE2L2/PARP1/E2F1/CTNNB1/MDM2/APP/MCL1	27
BP	GO:0071375	cellular response to peptide hormone stimulus	27/149	345/18860	0.0782608695652174	9.90604026845638	14.8982860608277	2.06016022607467e-19	2.67370169340254e-17	1.13105507148639e-17	PRKCA/PPARG/GSK3B/CCNA2/RELA/AKT1/STAT1/GSTP1/SLC2A4/INSR/MAPK3/MAPK1/SREBF1/ADIPOQ/CA2/STAT3/RB1/FOS/CAV1/IL1B/PRKCB/NFE2L2/PARP1/HSF1/CTSD/IGF2/MDM2	27
BP	GO:0033002	muscle cell proliferation	24/149	252/18860	0.0952380952380952	12.0549696388623	15.7656521791476	2.59030323288039e-19	3.25985737156129e-17	1.37901629846168e-17	PRKCA/PPARG/MAPK14/PPARD/AKT1/TNF/STAT1/HMOX1/GSTP1/ADIPOQ/RXRB/STAT3/FOS/CDKN1A/MMP2/MMP9/IL10/IL6/GJA1/NOS3/IFNG/IGFBP3/CTNNB1/MDM2	24
BP	GO:2000628	regulation of miRNA metabolic process	17/149	89/18860	0.191011235955056	24.1776638262574	19.5580216718454	3.33451859368864e-19	4.05437986351603e-17	1.71512286418398e-17	ESR1/PPARG/AR/PPARD/RELA/TNF/PPARA/SREBF1/STAT3/EGFR/FOS/IL10/IL6/TP53/HIF1A/MYC/APP	17
BP	GO:0071356	cellular response to tumor necrosis factor	23/149	226/18860	0.101769911504425	12.8817485300232	16.0356103820273	3.41688647298485e-19	4.05437986351603e-17	1.71512286418398e-17	CASP8/MAPK14/RELA/IKBKB/AKT1/TNF/STAT1/VCAM1/HAS2/GSTP1/SLC2A4/MAPK3/MAPK1/ADIPOQ/FOS/TP53/NFKBIA/CCL2/CXCL8/COL1A1/NFE2L2/CHUK/XIAP	23
BP	GO:0071214	cellular response to abiotic stimulus	27/149	355/18860	0.076056338028169	9.62699688061253	14.6431070684899	4.30993151935639e-19	4.8376069188884e-17	2.04645112540706e-17	PTGS2/BAX/CASP9/CASP3/CASP8/AKR1B1/MAPK14/TNF/MAPK8/MMP1/SLC2A4/MAPK3/BAD/MMP3/BCL2L1/CDKN1A/MMP2/MMP9/TP53/MYC/IL1B/COL1A1/PARP1/HSF1/IRF1/MDM2/PCNA	27
BP	GO:0104004	cellular response to environmental stimulus	27/149	355/18860	0.076056338028169	9.62699688061253	14.6431070684899	4.30993151935639e-19	4.8376069188884e-17	2.04645112540706e-17	PTGS2/BAX/CASP9/CASP3/CASP8/AKR1B1/MAPK14/TNF/MAPK8/MMP1/SLC2A4/MAPK3/BAD/MMP3/BCL2L1/CDKN1A/MMP2/MMP9/TP53/MYC/IL1B/COL1A1/PARP1/HSF1/IRF1/MDM2/PCNA	27
BP	GO:0034599	cellular response to oxidative stress	24/149	264/18860	0.0909090909090909	11.5070164734594	15.3417737198056	7.72040249683173e-19	8.43758725509004e-17	3.56934952000337e-17	RELA/AKT1/MAPK8/CYP1B1/ALOX5/SOD1/CAT/GSR/ABCC1/MMP3/FOS/MMP2/IL6/TP53/HIF1A/NOS3/MPO/NFE2L2/NQO1/PARP1/HSF1/MDM2/PCNA/MET	24
BP	GO:0072593	reactive oxygen species metabolic process	23/149	237/18860	0.0970464135021097	12.2838614674482	15.5995137811836	1.00350215424019e-18	1.06860114014347e-16	4.52049958279861e-17	BCL2/NOS2/MAPK14/NCF1/TNF/CYP1A2/CYP1A1/CYP1B1/ALOX5/GSTP1/SOD1/CAT/PPARA/STAT3/MMP3/CDKN1A/TP53/NOS3/MPO/NFE2L2/NQO1/HK2/APP	23
BP	GO:0006809	nitric oxide biosynthetic process	16/149	80/18860	0.2	25.3154362416107	19.4483709843175	1.76927020301361e-18	1.83694478827888e-16	7.77082097060451e-17	PTGS2/HSP90AA1/ESR1/NOS2/AKT1/TNF/STAT1/CYP1B1/INSR/IL10/CAV1/IL1B/NOS3/IFNG/NQO1/APP	16
BP	GO:0009416	response to light stimulus	26/149	341/18860	0.0762463343108504	9.65104607451436	14.3860317269076	1.9602420386437e-18	1.98558175280177e-16	8.39959939023448e-17	BCL2/BAX/CASP9/CASP3/MAPK14/RELA/AKT1/MAPK8/MMP1/CAT/HMGCR/CCND1/MMP3/EGFR/FOS/CDKN1A/MMP2/MMP9/TP53/HIF1A/MYC/PARP1/MDM2/APP/PCNA/DRD2	26
BP	GO:0032868	response to insulin	24/149	280/18860	0.0857142857142857	10.849472674976	14.8174375527875	3.04528167839758e-18	3.01120352628218e-16	1.27382835118936e-16	PPARG/MAPK14/GSK3B/RELA/AKT1/STAT1/GSTP1/SLC2A4/INSR/MAPK3/MAPK1/CAT/PPARA/SREBF1/ADIPOQ/RB1/FOS/IL10/IL1B/PRKCB/COL1A1/PARP1/CTSD/IGF2	24
BP	GO:0010038	response to metal ion	26/149	351/18860	0.0740740740740741	9.37608749689286	14.1353722818942	4.01159778713697e-18	3.87445711859997e-16	1.63901020972622e-16	BCL2/CASP9/CASP3/CASP8/LTA4H/AKT1/HMOX1/CYP1A2/CYP1A1/VCAM1/SOD1/CAT/MTTP/BACE1/CCND1/FOS/HIF1A/CAV1/IL1A/NFE2L2/PARP1/HSF1/MDM2/APP/PCNA/DRD2	26
BP	GO:2001242	regulation of intrinsic apoptotic signaling pathway	21/149	195/18860	0.107692307692308	13.6313887454827	15.8218905129777	4.14198764346534e-18	3.90947151893444e-16	1.65382233898174e-16	PTGS2/BCL2/BAX/AKT1/BAD/SOD1/BCL2L1/MMP2/MMP9/IL10/TP53/HIF1A/CAV1/MYC/HSPB1/NFE2L2/PARP1/CTNNB1/MDM2/APP/MCL1	21
BP	GO:0048660	regulation of smooth muscle cell proliferation	20/149	172/18860	0.116279069767442	14.7182768846574	16.1282163303272	5.88874407166951e-18	5.43465647325411e-16	2.29902078493951e-16	PRKCA/PPARG/PPARD/AKT1/TNF/STAT1/HMOX1/GSTP1/ADIPOQ/CDKN1A/MMP2/MMP9/IL10/IL6/GJA1/NOS3/IFNG/IGFBP3/CTNNB1/MDM2	20
BP	GO:0071466	cellular response to xenobiotic stimulus	21/149	202/18860	0.103960396039604	13.159013887966	15.5040606972487	8.63712204370791e-18	7.79781909728672e-16	3.29870862493101e-16	NOS2/CYP3A4/CYP1A2/CYP1A1/NR1I2/CYP1B1/GSTP1/AHR/GSTM1/GSTM2/ABCC1/ADIPOQ/RB1/TP53/MYC/IL1B/NFE2L2/NQO1/HSF1/E2F1/PCNA	21
BP	GO:0048659	smooth muscle cell proliferation	20/149	176/18860	0.113636363636364	14.3837705918243	15.9185627433135	9.33412110829683e-18	8.24778828994824e-16	3.48905893163436e-16	PRKCA/PPARG/PPARD/AKT1/TNF/STAT1/HMOX1/GSTP1/ADIPOQ/CDKN1A/MMP2/MMP9/IL10/IL6/GJA1/NOS3/IFNG/IGFBP3/CTNNB1/MDM2	20
BP	GO:0010586	miRNA metabolic process	17/149	108/18860	0.157407407407407	19.9241859308973	17.5998615733643	1.06795531793581e-17	9.2400384070571e-16	3.9088101439361e-16	ESR1/PPARG/AR/PPARD/RELA/TNF/PPARA/SREBF1/STAT3/EGFR/FOS/IL10/IL6/TP53/HIF1A/MYC/APP	17
BP	GO:0097191	extrinsic apoptotic signaling pathway	22/149	239/18860	0.0920502092050209	11.6514560107832	14.7880324067642	1.87967410657394e-17	1.59311970706155e-15	6.7393686012286e-16	BCL2/BAX/CASP8/GSK3B/AR/RELA/AKT1/TNF/HMOX1/ICAM1/GSTP1/BAD/BCL2L1/CAV1/IL1B/NOS3/SERPINE1/IFNG/IL1A/CD40LG/APP/MCL1	22
BP	GO:0032102	negative regulation of response to external stimulus	28/149	452/18860	0.0619469026548673	7.8410643226228	13.1369199493456	1.98854738071553e-17	1.65168745442232e-15	6.98712753350361e-16	PLAU/PPARG/MAPK14/DPP4/PPARD/IL4/TNF/ALOX5/GSTP1/AHR/LDLR/SOD1/CYP19A1/PPARA/ADIPOQ/BACE1/STAT3/RB1/IL10/CCL2/NOS3/IL2RA/PLAT/THBD/SERPINE1/PARP1/SPP1/DRD2	28
BP	GO:0048732	gland development	28/149	454/18860	0.0616740088105727	7.80652218904296	13.1001855587458	2.2304134404287e-17	1.8162562780589e-15	7.68330243978431e-16	BCL2/BAX/ESR1/AR/RELA/AKT1/TNF/CYP1A1/INSR/MAPK3/MAPK1/SOD1/CYP19A1/PPARA/CCND1/EGFR/MMP2/IL10/EGF/IL6/HIF1A/CAV1/IGF2/HK2/CTNNB1/PCNA/MET/DRD2	28
BP	GO:0008202	steroid metabolic process	25/149	345/18860	0.072463768115942	9.17225950782998	13.6707960261753	3.16827466855943e-17	2.53035474971679e-15	1.0704150651469e-15	PON1/AKR1B1/ESR1/PPARD/IL4/AKT1/TNF/CYP3A4/CYP1A2/CYP1A1/NR1I2/CYP1B1/MAPK1/LDLR/CAT/APOB/HMGCR/CYP19A1/SREBF1/SOAT2/CES1/SOAT1/SULT1E1/IFNG/SPP1	25
BP	GO:1904645	response to amyloid-beta	14/149	61/18860	0.229508196721311	29.0505006051271	19.5813272234653	3.24284844805569e-17	2.54104709524062e-15	1.07493824425123e-15	ADRB2/GSK3B/TNF/ICAM1/VCAM1/APOB/ABCC1/BACE1/MMP3/MMP2/MMP9/GJA1/PARP1/APP	14
BP	GO:0051402	neuron apoptotic process	24/149	318/18860	0.0754716981132075	9.552994808155	13.7264251149422	5.72079248495425e-17	4.39971318333611e-15	1.86120909500753e-15	BCL2/BAX/CASP9/CASP3/CASP8/KDR/GSK3B/AKT1/TNF/SOD1/BACE1/CCND1/RB1/BCL2L1/MMP2/IL10/TP53/HIF1A/CCL2/PARP1/CTNNB1/APP/MCL1/XIAP	24
BP	GO:0009612	response to mechanical stimulus	21/149	228/18860	0.0921052631578947	11.6584245849523	14.4488960774378	1.05112600226848e-16	7.93695688621998e-15	3.35756803404036e-15	CASP8/PRKCA/MAPK14/RELA/TNF/MAPK8/STAT1/MAPK3/BAD/BACE1/FOS/MMP2/NFKBIA/MYC/IL1B/COL1A1/MPO/CXCL10/IRF1/CTNNB1/DRD2	21
BP	GO:0010876	lipid localization	28/149	483/18860	0.0579710144927536	7.33780760626398	12.5915523139079	1.10675091355875e-16	8.20774382858839e-15	3.47211893746157e-15	PTGS2/PON1/RXRA/NOS2/PPARG/PPARD/AKT1/TNF/MAPK3/LDLR/MTTP/APOB/CYP19A1/PPARA/ABCC1/ADIPOQ/SOAT2/CES1/SOAT1/EGF/IL6/NFKBIA/CAV1/IL1B/ABCG2/SPP1/PTGES/DRD2	28
BP	GO:0045765	regulation of angiogenesis	25/149	365/18860	0.0684931506849315	8.6696699457571	13.2038294042094	1.19798994121152e-16	8.72851267693239e-15	3.69241959719674e-15	PRKCA/PPARG/KDR/RELA/TNF/STAT1/HMOX1/CYP1B1/ALOX5/STAT3/IL10/IL6/HIF1A/F3/IL1B/CXCL8/PRKCB/NOS3/HSPB1/SERPINE1/IL1A/NFE2L2/CXCL10/HK2/CTNNB1	25
BP	GO:0043523	regulation of neuron apoptotic process	22/149	264/18860	0.0833333333333333	10.5480984340045	13.9416137777023	1.57014065835265e-16	1.12427485416182e-14	4.75601589617162e-15	BCL2/BAX/CASP9/CASP3/CASP8/KDR/GSK3B/AKT1/TNF/SOD1/BACE1/CCND1/BCL2L1/MMP2/IL10/TP53/HIF1A/CCL2/PARP1/CTNNB1/APP/MCL1	22
BP	GO:1901342	regulation of vasculature development	25/149	375/18860	0.0666666666666667	8.43847874720358	12.9835662403149	2.25892302778881e-16	1.59005209057744e-14	6.72639167418291e-15	PRKCA/PPARG/KDR/RELA/TNF/STAT1/HMOX1/CYP1B1/ALOX5/STAT3/IL10/IL6/HIF1A/F3/IL1B/CXCL8/PRKCB/NOS3/HSPB1/SERPINE1/IL1A/NFE2L2/CXCL10/HK2/CTNNB1	25
BP	GO:0034614	cellular response to reactive oxygen species	18/149	153/18860	0.117647058823529	14.8914330833004	15.395530504907	2.36907045506875e-16	1.63979159998342e-14	6.93680454299954e-15	RELA/AKT1/MAPK8/CYP1B1/SOD1/CAT/MMP3/FOS/MMP2/IL6/NOS3/MPO/NFE2L2/NQO1/HSF1/MDM2/PCNA/MET	18
BP	GO:1905952	regulation of lipid localization	19/149	183/18860	0.103825136612022	13.1418931308908	14.7286301440038	3.55075959134938e-16	2.41742698079901e-14	1.02264327143436e-14	PON1/RXRA/PPARG/PPARD/AKT1/TNF/MAPK3/APOB/CYP19A1/PPARA/ADIPOQ/CES1/EGF/IL6/NFKBIA/CAV1/IL1B/SPP1/PTGES	19
BP	GO:1902895	positive regulation of miRNA transcription	13/149	56/18860	0.232142857142857	29.3839884947268	18.9821883973329	3.87293891194485e-16	2.59424440343661e-14	1.09744228251884e-14	PPARG/AR/RELA/TNF/SREBF1/STAT3/EGFR/FOS/IL10/IL6/TP53/HIF1A/MYC	13
